Temperature,Humidity,Pressure,Wind Speed,Month,PM25_Concentration
20.0,56.0,1004.0,7.92,5,88.0
20.0,56.0,1004.0,7.92,5,78.0
20.0,56.0,1004.0,7.92,5,74.0
20.0,56.0,1004.0,7.92,5,87.0
18.0,64.0,1004.0,7.56,5,105.0
18.0,64.0,1004.0,7.56,5,98.0
18.0,64.0,1004.0,7.56,5,87.0
18.0,64.0,1004.0,7.56,5,94.0
18.0,70.0,1004.0,5.76,5,114.0
18.0,70.0,1004.0,5.76,5,106.0
18.0,70.0,1004.0,5.76,5,94.0
18.0,70.0,1004.0,5.76,5,97.0
17.0,74.0,1004.0,6.12,5,118.0
17.0,74.0,1004.0,6.12,5,107.0
17.0,74.0,1004.0,6.12,5,96.0
17.0,74.0,1004.0,6.12,5,107.0
17.0,75.0,1004.0,4.68,5,130.0
17.0,75.0,1004.0,4.68,5,112.0
17.0,75.0,1004.0,4.68,5,103.0
17.0,75.0,1004.0,4.68,5,112.0
16.0,75.0,1004.0,3.96,5,140.0
16.0,75.0,1004.0,3.96,5,123.0
16.0,75.0,1004.0,3.96,5,94.0
16.0,75.0,1004.0,3.96,5,152.0
16.0,78.0,1005.0,5.04,5,142.0
16.0,78.0,1005.0,5.04,5,126.0
16.0,78.0,1005.0,5.04,5,97.0
16.0,78.0,1005.0,5.04,5,129.0
17.0,76.0,1005.0,7.56,5,150.0
17.0,76.0,1005.0,7.56,5,139.0
17.0,76.0,1005.0,7.56,5,125.0
17.0,76.0,1005.0,7.56,5,135.0
18.0,72.0,1005.0,8.64,5,139.0
18.0,72.0,1005.0,8.64,5,152.0
18.0,72.0,1005.0,8.64,5,147.0
18.0,72.0,1005.0,8.64,5,135.0
20.0,68.0,1005.0,10.08,5,158.0
20.0,68.0,1005.0,10.08,5,160.0
20.0,68.0,1005.0,10.08,5,150.0
20.0,68.0,1005.0,10.08,5,150.0
21.0,65.0,1005.0,9.36,5,181.0
21.0,65.0,1005.0,9.36,5,163.0
21.0,65.0,1005.0,9.36,5,136.0
21.0,65.0,1005.0,9.36,5,162.0
23.0,57.0,1004.0,10.8,5,167.0
23.0,57.0,1004.0,10.8,5,152.0
23.0,57.0,1004.0,10.8,5,141.0
23.0,57.0,1004.0,10.8,5,155.0
25.0,55.0,1003.0,14.4,5,157.0
25.0,55.0,1003.0,14.4,5,146.0
25.0,55.0,1003.0,14.4,5,143.0
25.0,55.0,1003.0,14.4,5,143.0
25.0,51.0,1002.0,19.44,5,162.0
25.0,51.0,1002.0,19.44,5,151.0
25.0,51.0,1002.0,19.44,5,135.0
25.0,51.0,1002.0,19.44,5,144.0
26.0,45.0,1002.0,12.96,5,154.0
26.0,45.0,1002.0,12.96,5,152.0
26.0,45.0,1002.0,12.96,5,147.0
26.0,45.0,1002.0,12.96,5,158.0
26.0,44.0,1001.0,10.8,5,165.0
26.0,44.0,1001.0,10.8,5,128.0
26.0,44.0,1001.0,10.8,5,143.0
26.0,44.0,1001.0,10.8,5,202.0
27.0,43.0,1001.0,13.32,5,168.0
27.0,43.0,1001.0,13.32,5,140.0
27.0,43.0,1001.0,13.32,5,124.0
27.0,43.0,1001.0,13.32,5,143.0
26.0,46.0,1001.0,15.12,5,162.0
26.0,46.0,1001.0,15.12,5,130.0
26.0,46.0,1001.0,15.12,5,114.0
26.0,46.0,1001.0,15.12,5,147.0
24.0,26.0,1003.0,13.32,5,115.0
24.0,26.0,1003.0,13.32,5,92.0
24.0,26.0,1003.0,13.32,5,125.0
24.0,26.0,1003.0,13.32,5,136.0
20.0,35.0,1003.0,12.96,5,67.0
20.0,35.0,1003.0,12.96,5,69.0
20.0,35.0,1003.0,12.96,5,79.0
20.0,35.0,1003.0,12.96,5,130.0
19.0,30.0,1005.0,19.08,5,96.0
19.0,30.0,1005.0,19.08,5,69.0
19.0,30.0,1005.0,19.08,5,67.0
19.0,30.0,1005.0,19.08,5,68.0
17.0,38.0,1007.0,20.88,5,53.0
17.0,38.0,1007.0,20.88,5,50.0
17.0,38.0,1007.0,20.88,5,71.0
17.0,38.0,1007.0,20.88,5,113.0
16.0,37.0,1007.0,17.28,5,48.0
16.0,37.0,1007.0,17.28,5,31.0
16.0,37.0,1007.0,17.28,5,47.0
16.0,37.0,1007.0,17.28,5,54.0
15.0,44.0,1008.0,21.96,5,39.0
15.0,44.0,1008.0,21.96,5,38.0
15.0,44.0,1008.0,21.96,5,28.0
15.0,44.0,1008.0,21.96,5,51.0
15.0,37.0,1009.0,20.88,5,51.0
15.0,37.0,1009.0,20.88,5,36.0
15.0,37.0,1009.0,20.88,5,37.0
15.0,37.0,1009.0,20.88,5,48.0
14.0,37.0,1008.0,16.56,5,49.0
14.0,37.0,1008.0,16.56,5,36.0
14.0,37.0,1008.0,16.56,5,25.0
14.0,37.0,1008.0,16.56,5,47.0
13.0,37.0,1008.0,21.24,5,41.0
13.0,37.0,1008.0,21.24,5,32.0
13.0,37.0,1008.0,21.24,5,22.0
13.0,37.0,1008.0,21.24,5,44.0
13.0,37.0,1009.0,17.28,5,36.0
13.0,37.0,1009.0,17.28,5,26.0
13.0,37.0,1009.0,17.28,5,28.0
13.0,37.0,1009.0,17.28,5,34.0
13.0,37.0,1009.0,15.84,5,36.0
13.0,37.0,1009.0,15.84,5,53.0
13.0,37.0,1009.0,15.84,5,23.0
13.0,37.0,1009.0,15.84,5,28.0
13.0,35.0,1010.0,16.92,5,34.0
13.0,35.0,1010.0,16.92,5,30.0
13.0,35.0,1010.0,16.92,5,16.0
13.0,35.0,1010.0,16.92,5,34.0
13.0,31.0,1010.0,23.76,5,28.0
13.0,31.0,1010.0,23.76,5,28.0
13.0,31.0,1010.0,23.76,5,15.0
13.0,31.0,1010.0,23.76,5,34.0
14.0,29.0,1011.0,23.76,5,30.0
14.0,29.0,1011.0,23.76,5,20.0
14.0,29.0,1011.0,23.76,5,16.0
14.0,29.0,1011.0,23.76,5,25.0
14.0,27.0,1012.0,18.36,5,36.0
14.0,27.0,1012.0,18.36,5,18.0
14.0,27.0,1012.0,18.36,5,16.0
14.0,27.0,1012.0,18.36,5,26.0
15.0,14.0,1014.0,28.8,5,66.0
15.0,14.0,1014.0,28.8,5,34.0
15.0,14.0,1014.0,28.8,5,13.0
15.0,14.0,1014.0,28.8,5,39.0
17.0,16.0,1014.0,19.08,5,66.0
17.0,16.0,1014.0,19.08,5,23.0
17.0,16.0,1014.0,19.08,5,24.0
17.0,16.0,1014.0,19.08,5,52.0
18.0,14.0,1014.0,12.6,5,58.0
18.0,14.0,1014.0,12.6,5,22.0
18.0,14.0,1014.0,12.6,5,20.0
18.0,14.0,1014.0,12.6,5,54.0
20.0,12.0,1014.0,20.52,5,57.0
20.0,12.0,1014.0,20.52,5,21.0
20.0,12.0,1014.0,20.52,5,16.0
20.0,12.0,1014.0,20.52,5,50.0
20.0,12.0,1013.0,17.64,5,62.0
20.0,12.0,1013.0,17.64,5,17.0
20.0,12.0,1013.0,17.64,5,15.0
20.0,12.0,1013.0,17.64,5,50.0
21.0,13.0,1012.0,9.72,5,57.0
21.0,13.0,1012.0,9.72,5,28.0
21.0,13.0,1012.0,9.72,5,15.0
21.0,13.0,1012.0,9.72,5,60.0
22.0,12.0,1011.0,8.28,5,57.0
22.0,12.0,1011.0,8.28,5,28.0
22.0,12.0,1011.0,8.28,5,11.0
22.0,12.0,1011.0,8.28,5,59.0
22.0,16.0,1011.0,15.12,5,51.0
22.0,16.0,1011.0,15.12,5,18.0
22.0,16.0,1011.0,15.12,5,11.0
22.0,16.0,1011.0,15.12,5,49.0
19.0,23.0,1012.0,11.88,5,29.0
19.0,23.0,1012.0,11.88,5,5.0
19.0,23.0,1012.0,11.88,5,37.0
16.0,38.0,1014.0,10.08,5,21.0
16.0,38.0,1014.0,10.08,5,16.0
16.0,38.0,1014.0,10.08,5,11.0
16.0,38.0,1014.0,10.08,5,32.0
17.0,33.0,1014.0,7.92,5,12.0
17.0,33.0,1014.0,7.92,5,12.0
17.0,33.0,1014.0,7.92,5,15.0
17.0,33.0,1014.0,7.92,5,24.0
16.0,37.0,1014.0,3.24,5,18.0
16.0,37.0,1014.0,3.24,5,16.0
16.0,37.0,1014.0,3.24,5,11.0
16.0,37.0,1014.0,3.24,5,17.0
15.0,41.0,1015.0,8.64,5,17.0
15.0,41.0,1015.0,8.64,5,13.0
15.0,41.0,1015.0,8.64,5,7.0
15.0,41.0,1015.0,8.64,5,21.0
14.0,46.0,1014.0,2.52,5,30.0
14.0,46.0,1014.0,2.52,5,20.0
14.0,46.0,1014.0,2.52,5,23.0
14.0,46.0,1014.0,2.52,5,27.0
13.0,49.0,1014.0,3.24,5,26.0
13.0,49.0,1014.0,3.24,5,21.0
13.0,49.0,1014.0,3.24,5,34.0
13.0,49.0,1014.0,3.24,5,27.0
12.0,54.0,1014.0,1.44,5,50.0
12.0,54.0,1014.0,1.44,5,32.0
12.0,54.0,1014.0,1.44,5,47.0
12.0,54.0,1014.0,1.44,5,42.0
11.0,55.0,1014.0,5.4,5,44.0
11.0,55.0,1014.0,5.4,5,33.0
11.0,55.0,1014.0,5.4,5,49.0
11.0,55.0,1014.0,5.4,5,42.0
11.0,55.0,1013.0,3.96,5,62.0
11.0,55.0,1013.0,3.96,5,29.0
11.0,55.0,1013.0,3.96,5,46.0
11.0,55.0,1013.0,3.96,5,55.0
11.0,55.0,1012.0,4.68,5,42.0
